issue_key,ground_truth,prediction,status,prediction_status,reason,model,prompt_version,cost_usd
MC-299218,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific actions to take and the expected observations during the process.",gpt-4o-mini-2024-07-18,v2,0.00012975
MC-299632,Non-Executable,Executable,mismatch,valid_json,"The report provides detailed steps to reproduce the issue, including specific commands and actions to take within the game, allowing another person to reasonably attempt to reproduce the bug.",gpt-4o-mini-2024-07-18,v2,0.00021675
MC-300408,Non-Executable,Executable,mismatch,valid_json,"The report provides detailed steps to reproduce the bug, including specific actions, commands, and expected outcomes, allowing another person to reasonably attempt to reproduce the issue.",gpt-4o-mini-2024-07-18,v2,0.00020820
MC-300409,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including the setup of a Zombified Piglin farm, the command to teleport Piglins, and the conditions under which the command block drop occurs.",gpt-4o-mini-2024-07-18,v2,0.00016680
MC-300473,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific commands and actions that lead to the observed crash.",gpt-4o-mini-2024-07-18,v2,0.00018510
MC-300598,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and concrete steps to reproduce the bug, including the setup, actions to take, and the expected outcome, allowing another person to reasonably attempt to reproduce the issue.",gpt-4o-mini-2024-07-18,v2,0.00015390
MC-300612,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific actions to take and the expected outcomes, allowing another person to reasonably attempt to reproduce the issue.",gpt-4o-mini-2024-07-18,v2,0.00017625
MC-300620,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including the necessary setup, actions to take, and the expected and observed behaviors.",gpt-4o-mini-2024-07-18,v2,0.00016740
MC-300634,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the issue, including specific actions and conditions that trigger the lag, making it possible for others to replicate the problem.",gpt-4o-mini-2024-07-18,v2,0.00024825
MC-300643,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the issue, including specific hardware requirements, actions to take, and expected outcomes, allowing another person to reasonably attempt to reproduce the bug.",gpt-4o-mini-2024-07-18,v2,0.00022545
MC-300659,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the issue, including necessary context, user actions, and expected outcomes.",gpt-4o-mini-2024-07-18,v2,0.00017535
MC-300683,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific actions and conditions that lead to the game crash.",gpt-4o-mini-2024-07-18,v2,0.00014715
MC-300736,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific actions to take and conditions to meet, allowing another person to reasonably attempt to reproduce the issue.",gpt-4o-mini-2024-07-18,v2,0.00025560
MC-300768,Non-Executable,Executable,mismatch,valid_json,"The report provides detailed steps to reproduce the issue, including specific actions and conditions needed to trigger the bug.",gpt-4o-mini-2024-07-18,v2,0.00012210
MC-300807,Non-Executable,Executable,mismatch,valid_json,"The report provides detailed steps to reproduce the issue, including downloading the server JAR, running the server, and using the data generator to observe the block type IDs, which allows another person to reasonably attempt to reproduce the bug.",gpt-4o-mini-2024-07-18,v2,0.00021585
MC-300843,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including the necessary setup, actions, and expected outcomes.",gpt-4o-mini-2024-07-18,v2,0.00016845
MC-300844,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific commands and actions to take in the game.",gpt-4o-mini-2024-07-18,v2,0.00015105
MC-300860,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific actions to take in the game, the context of using a test server, and the expected outcomes of those actions.",gpt-4o-mini-2024-07-18,v2,0.00018930
MC-300891,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including the necessary setup, actions to take, and the expected and observed behaviors.",gpt-4o-mini-2024-07-18,v2,0.00015105
MC-300902,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific actions and conditions needed to trigger the issue.",gpt-4o-mini-2024-07-18,v2,0.00015015
MC-300903,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific actions, setup, and expected outcomes, allowing another person to reasonably attempt to reproduce the issue.",gpt-4o-mini-2024-07-18,v2,0.00021945
MC-300915,Non-Executable,Executable,mismatch,valid_json,"The report provides detailed steps to reproduce the issue, including specific actions and conditions that lead to the observed incorrect behavior.",gpt-4o-mini-2024-07-18,v2,0.00019245
MC-300927,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific actions to take within the game and the expected outcomes, allowing another person to reasonably attempt to reproduce the issue.",gpt-4o-mini-2024-07-18,v2,0.00018360
MC-300935,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific actions and expected outcomes related to the redstone mechanics.",gpt-4o-mini-2024-07-18,v2,0.00017535
MC-300937,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the issue, including specific actions required to unlock the achievement and the context in which the issue occurs.",gpt-4o-mini-2024-07-18,v2,0.00017160
MC-300943,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the issue, including specific actions to take within the game and the expected outcomes.",gpt-4o-mini-2024-07-18,v2,0.00014985
MC-300953,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific actions, expected outcomes, and the context needed to replicate the performance issues.",gpt-4o-mini-2024-07-18,v2,0.00033660
MC-300957,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the issue, including specific actions to take within the game and the expected outcomes, allowing another person to reasonably attempt to reproduce the bug.",gpt-4o-mini-2024-07-18,v2,0.00018495
MC-300980,Non-Executable,Executable,mismatch,valid_json,"The report provides clear steps to reproduce the bug, detailing the actions to take in the game and the expected versus observed behavior.",gpt-4o-mini-2024-07-18,v2,0.00015315
MC-301046,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific actions and conditions that lead to the observed warning message during server startup.",gpt-4o-mini-2024-07-18,v2,0.00017355
MC-301052,Non-Executable,Executable,mismatch,valid_json,"The report provides clear steps to reproduce the issue, including specific actions to take within the game and the conditions to observe, allowing another person to reasonably attempt to replicate the bug.",gpt-4o-mini-2024-07-18,v2,0.00013335
MC-301076,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the issue, including specific actions to take and the expected outcomes, allowing another person to reasonably attempt to reproduce the bug.",gpt-4o-mini-2024-07-18,v2,0.00015900
MC-301109,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific actions and conditions that lead to the observed duplication issue.",gpt-4o-mini-2024-07-18,v2,0.00016950
MC-301117,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific actions to take and the expected observations, allowing another person to reasonably attempt to reproduce the issue.",gpt-4o-mini-2024-07-18,v2,0.00018120
MC-301128,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the issue, including specific actions to take in the game and the expected outcomes, allowing another person to reasonably attempt to reproduce the bug.",gpt-4o-mini-2024-07-18,v2,0.00017625
MC-301135,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific actions and conditions necessary to observe the unintended behavior of iron golems planting flowers.",gpt-4o-mini-2024-07-18,v2,0.00016365
MC-301141,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including the necessary setup, actions, and expected outcomes.",gpt-4o-mini-2024-07-18,v2,0.00016905
MC-301159,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific actions and conditions that lead to the observed incorrect behavior.",gpt-4o-mini-2024-07-18,v2,0.00014475
MC-301184,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific actions to take and the expected outcomes, allowing another person to reasonably attempt to reproduce the issue.",gpt-4o-mini-2024-07-18,v2,0.00020550
MC-301202,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific actions and conditions that lead to the observed issue with the copper golem and villagers.",gpt-4o-mini-2024-07-18,v2,0.00032160
MC-301221,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific actions, commands, and conditions necessary to observe the incorrect item light rendering.",gpt-4o-mini-2024-07-18,v2,0.00017730
MC-301234,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific commands and actions that can be followed to observe the issue.",gpt-4o-mini-2024-07-18,v2,0.00017640
MC-301252,Non-Executable,Executable,mismatch,valid_json,"The report provides clear and detailed steps to reproduce the bug, including specific commands and actions to take in the game.",gpt-4o-mini-2024-07-18,v2,0.00014565
