timestamp,version,phase,row_index,total_rows,issue_key,status,prediction,reason,error_message,model,prompt_version,input_tokens,cached_input_tokens,output_tokens,total_tokens,cost_usd
2026-07-02T21:13:45,improved,pilot,1,26,MC-300962,valid_json,Executable,"The report provides clear and detailed steps to reproduce the issue, including specific actions and conditions that trigger the bug, allowing another person to reasonably attempt to reproduce it.",,gpt-4o-mini-2024-07-18,v2,1811,0,60,1871,0.00030765
2026-07-02T21:13:53,improved,pilot,2,26,MC-299218,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including specific actions to take and the expected observations during the process.",,gpt-4o-mini-2024-07-18,v2,1229,0,53,1282,0.00021615
2026-07-02T21:13:55,improved,pilot,3,26,MC-301018,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including specific actions and expected outcomes, allowing another person to reasonably attempt to reproduce the issue.",,gpt-4o-mini-2024-07-18,v2,1541,0,58,1599,0.00026595
2026-07-02T21:13:57,improved,pilot,4,26,MC-300634,valid_json,Executable,"The report provides clear and detailed steps to reproduce the issue, including specific actions and conditions that trigger the lag, making it possible for others to replicate the problem.",,gpt-4o-mini-2024-07-18,v2,1415,0,60,1475,0.00024825
2026-07-02T21:14:00,improved,pilot,5,26,MC-299909,valid_json,Executable,"The report provides clear and detailed steps to reproduce the issue, including specific actions to take in the Minecraft Launcher and the expected outcomes, allowing another person to reasonably attempt to reproduce the bug.",,gpt-4o-mini-2024-07-18,v2,1845,0,65,1910,0.00031575
2026-07-02T21:14:11,improved,pilot,6,26,MC-300861,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including the necessary setup, actions to take, and the expected and observed behaviors.",,gpt-4o-mini-2024-07-18,v2,1629,0,56,1685,0.00027795
2026-07-02T21:14:13,improved,pilot,7,26,MC-300776,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including specific actions and conditions that lead to the observed incorrect behavior.",,gpt-4o-mini-2024-07-18,v2,1761,0,53,1814,0.00029595
2026-07-02T21:14:15,improved,pilot,8,26,MC-300107,valid_json,Executable,"The report provides clear steps to create Copper Golems and observe their behavior, allowing another person to reasonably attempt to reproduce the bug.",,gpt-4o-mini-2024-07-18,v2,1731,0,55,1786,0.00029265
2026-07-02T21:14:18,improved,pilot,9,26,MC-300598,valid_json,Executable,"The report provides clear and concrete steps to reproduce the bug, including the necessary context, user actions, and the observed incorrect behavior.",,gpt-4o-mini-2024-07-18,v2,1474,0,54,1528,0.00025350
2026-07-02T21:14:21,improved,pilot,10,26,MC-300539,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including creating a new world, not sleeping, and observing the behavior of phantoms during the first night.",,gpt-4o-mini-2024-07-18,v2,1555,0,62,1617,0.00027045
2026-07-02T21:14:24,improved,pilot,11,26,MC-301151,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including specific actions to take and the expected outcome, allowing another person to reasonably attempt to reproduce the issue.",,gpt-4o-mini-2024-07-18,v2,1713,0,61,1774,0.00029355
2026-07-02T21:14:26,improved,pilot,12,26,MC-300562,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including specific actions, conditions, and observations that can be followed by another player.",,gpt-4o-mini-2024-07-18,v2,2300,0,56,2356,0.00037860
2026-07-02T21:14:29,improved,pilot,13,26,MC-300836,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including the necessary context, actions, and expected outcomes.",,gpt-4o-mini-2024-07-18,v2,1646,0,51,1697,0.00027750
2026-07-02T21:14:31,improved,pilot,14,26,MC-300033,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including specific commands, actions, and expected versus actual behavior.",,gpt-4o-mini-2024-07-18,v2,1836,0,52,1888,0.00030660
2026-07-02T21:14:33,improved,pilot,15,26,MC-300774,valid_json,Executable,"The report provides clear and detailed steps to reproduce the issue, including specific actions to take in both Minecraft and Discord, along with the expected and observed behaviors.",,gpt-4o-mini-2024-07-18,v2,1607,0,59,1666,0.00027645
2026-07-02T21:14:35,improved,pilot,16,26,MC-300409,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including the setup of a Zombified Piglin farm, the command to teleport Piglins, and the conditions under which the command block drop occurs.",,gpt-4o-mini-2024-07-18,v2,1600,0,70,1670,0.00028200
2026-07-02T21:14:37,improved,pilot,17,26,MC-300891,valid_json,Executable,"The report provides clear and detailed steps to reproduce the issue, including the necessary setup, actions to take, and the expected and observed behaviors.",,gpt-4o-mini-2024-07-18,v2,1487,0,56,1543,0.00025665
2026-07-02T21:14:40,improved,pilot,18,26,MC-300737,valid_json,Executable,"The report provides detailed steps to reproduce the bug, including specific actions to take in the game, the setup required, and the expected outcome, allowing another person to reasonably attempt to reproduce the issue.",,gpt-4o-mini-2024-07-18,v2,2141,0,67,2208,0.00036135
2026-07-02T21:14:42,improved,pilot,19,26,MC-301132,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including specific actions, conditions, and the expected and observed behaviors.",,gpt-4o-mini-2024-07-18,v2,1723,0,53,1776,0.00029025
2026-07-02T21:14:44,improved,pilot,20,26,MC-300420,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including specific actions to take in the game settings and the expected outcomes based on those actions.",,gpt-4o-mini-2024-07-18,v2,1773,0,58,1831,0.00030075
2026-07-02T21:14:47,improved,pilot,21,26,MC-301221,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including specific actions, commands, and conditions necessary to observe the incorrect item light rendering.",,gpt-4o-mini-2024-07-18,v2,1786,0,57,1843,0.00030210
2026-07-02T21:14:49,improved,pilot,22,26,MC-300973,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including specific commands and conditions necessary to observe the issue with the copper golem's oxidation.",,gpt-4o-mini-2024-07-18,v2,1828,0,58,1886,0.00030900
2026-07-02T21:14:51,improved,pilot,23,26,MC-301125,valid_json,Executable,"The report provides clear and detailed steps to reproduce the issue, including specific actions to take in the game and the expected outcomes.",,gpt-4o-mini-2024-07-18,v2,1503,0,53,1556,0.00025725
2026-07-02T21:14:53,improved,pilot,24,26,MC-301203,valid_json,Executable,"The report provides clear and detailed steps to reproduce the issue, including specific actions to take in the Minecraft Launcher and the expected outcomes in-game.",,gpt-4o-mini-2024-07-18,v2,1600,0,56,1656,0.00027360
2026-07-02T21:14:55,improved,pilot,25,26,MC-300031,valid_json,Executable,"The report provides clear and detailed steps to reproduce the issue, including the necessary context, actions to take, and the expected and observed behaviors.",,gpt-4o-mini-2024-07-18,v2,1697,0,56,1753,0.00028815
2026-07-02T21:15:01,improved,pilot,26,26,MC-301159,valid_json,Executable,"The report provides clear and detailed steps to reproduce the bug, including specific actions and conditions that lead to the observed incorrect behavior.",,gpt-4o-mini-2024-07-18,v2,1457,0,53,1510,0.00025035
