"split","joint_stratum","count"
"pilot","Raw=Executable|Improved=Executable","10"
"pilot","Raw=Non-Executable|Improved=Executable","9"
"pilot","Raw=Non-Executable|Improved=Non-Executable","7"
"pilot","TOTAL","26"
"development","Raw=Executable|Improved=Executable","19"
"development","Raw=Executable|Improved=Non-Executable","1"
"development","Raw=Non-Executable|Improved=Executable","31"
"development","Raw=Non-Executable|Improved=Non-Executable","24"
"development","TOTAL","75"
"holdout","Raw=Executable|Improved=Executable","9"
"holdout","Raw=Executable|Improved=Non-Executable","1"
"holdout","Raw=Non-Executable|Improved=Executable","16"
"holdout","Raw=Non-Executable|Improved=Non-Executable","12"
"holdout","TOTAL","38"
